# index	name	x_px	y_px	z_norm	x_norm	y_norm
263	left_eye_outer_corner	350.613463	138.837410	0.011423	0.584356	0.361556
264		378.727663	142.386463	0.068864	0.631213	0.370798
265		365.566993	142.228123	0.027629	0.609278	0.370386
266		334.186113	176.916126	-0.007011	0.556977	0.460719
267	left_upper_lip_philtrum_ridge	310.615289	205.214699	-0.025035	0.517692	0.534413
268		309.380043	212.017570	-0.018255	0.515633	0.552129
269		319.354427	206.788490	-0.017774	0.532257	0.538512
270		324.936962	209.289482	-0.008586	0.541562	0.545025
271		316.236770	211.805511	-0.013622	0.527061	0.551577
272		321.529984	212.342354	-0.005277	0.535883	0.552975
273		331.641161	221.932961	0.012927	0.552735	0.577950
274		305.596876	185.981358	-0.060706	0.509328	0.484326
275		306.390381	178.926258	-0.065594	0.510651	0.465954
276		362.456167	126.281628	-0.000563	0.604094	0.328858
277		320.188844	158.840733	-0.013097	0.533648	0.413648
278		322.072220	182.007271	-0.031639	0.536787	0.473977
279		322.370839	177.846439	-0.028680	0.537285	0.463142
280		354.400349	175.443089	0.007133	0.590667	0.456883
281		305.946386	169.541428	-0.060310	0.509911	0.441514
282	left_eyebrow_lower_bend	345.604420	120.106739	-0.023060	0.576007	0.312778
283		355.632341	121.917217	-0.013617	0.592721	0.317493
284		370.096743	99.098099	0.029800	0.616828	0.258068
285	left_eyebrow_inner_lower	313.846457	127.938389	-0.031924	0.523077	0.333173
286		324.465466	131.608715	-0.006599	0.540776	0.342731
287		336.739182	214.827827	0.014192	0.561232	0.559447
288		369.671917	208.749298	0.116885	0.616120	0.543618
289		316.999912	186.146049	-0.026165	0.528333	0.484755
290		311.464512	188.515835	-0.027113	0.519108	0.490927
291	left_mouth_corner	331.263185	214.380203	0.012680	0.552105	0.558282
292		329.524791	214.245049	0.009332	0.549208	0.557930
293		359.677649	116.979778	-0.008721	0.599463	0.304635
294	left_nose_wing_tip	322.397661	184.733849	-0.024431	0.537329	0.481078
295	left_eyebrow_upper_bend	331.763685	121.864368	-0.029421	0.552939	0.317355
296		333.038127	116.008598	-0.033259	0.555064	0.302106
297		341.080999	83.326624	-0.019135	0.568468	0.216996
298		364.734042	107.770100	0.007603	0.607890	0.280651
299		336.408913	98.570595	-0.027342	0.560682	0.256694
300		366.651821	122.638962	0.008952	0.611086	0.319372
301		371.815395	117.356174	0.030911	0.619692	0.305615
302		310.225725	208.965431	-0.022970	0.517043	0.544181
303		317.794955	209.599091	-0.016155	0.529658	0.545831
304		323.292303	210.907494	-0.007908	0.538821	0.549238
305		315.388584	187.373772	-0.023861	0.525648	0.487953
306		330.373943	214.332390	0.010808	0.550623	0.558157
307		327.091670	215.993477	0.004509	0.545153	0.562483
308		328.515851	214.178558	0.008908	0.547526	0.557757
309		313.439834	184.621101	-0.043525	0.522400	0.480784
310		320.075405	213.293404	-0.002575	0.533459	0.555452
311		314.833224	213.221169	-0.007826	0.524722	0.555263
312		308.554780	213.813812	-0.011903	0.514258	0.556807
313		309.917128	236.599983	0.002676	0.516529	0.616146
314		310.235739	227.535873	-0.010004	0.517060	0.592541
315		309.826684	222.442863	-0.012359	0.516378	0.579278
316		309.185457	217.527626	-0.010403	0.515309	0.566478
317		308.419847	213.859566	-0.010057	0.514033	0.556926
318		319.965684	213.448402	-0.001192	0.533276	0.555855
319		321.452308	215.412643	-0.002058	0.535754	0.560970
320		323.115170	218.022377	-0.003041	0.538525	0.567767
321		324.458313	220.927162	-0.000637	0.540764	0.575331
322		328.927195	203.219856	-0.006345	0.548212	0.529218
323		378.000605	172.929977	0.125938	0.630001	0.450338
324		323.933172	213.729012	0.004655	0.539889	0.556586
325		325.492859	214.779991	0.004152	0.542488	0.559323
326	left_nostril_center	309.176409	191.442570	-0.026438	0.515294	0.498548
327	left_nose_wing_outer	319.973695	188.779850	-0.014709	0.533289	0.491614
328		310.274792	190.045738	-0.027249	0.517125	0.494911
329		327.314401	162.803032	-0.008031	0.545524	0.423966
330		338.546848	167.550705	-0.003965	0.564245	0.436330
331		323.586130	180.735878	-0.021283	0.539310	0.470666
332		358.781505	89.449751	0.003310	0.597969	0.232942
333		353.492725	101.143673	-0.011143	0.589155	0.263395
334		348.057532	114.218662	-0.022118	0.580096	0.297444
335		326.025295	227.473114	0.008503	0.543375	0.592378
336	left_eyebrow_inner_upper	316.177762	118.803715	-0.038772	0.526963	0.309385
337		319.095397	98.287971	-0.036297	0.531826	0.255958
338		322.019112	80.539267	-0.031836	0.536699	0.209738
339		348.169899	145.601269	0.005852	0.580283	0.379170
